,Title,Published_date,Views,Likes,Comments,Month
0,"""Projekte leicht gemacht"" stellt sich vor!",2024-01-09,2283,37,1,Jan
1,👉 Der Design Thinking Prozess,2022-10-06,8548,112,4,Oct
2,❓ Was ist Design Thinking? Die Methodik einfach erklärt,2022-09-29,5136,102,5,Sep
3,ABC Analyse: Schrittweise am einfachen Beispiel erklärt,2022-04-07,26896,495,19,Apr
4,Ressourcenplanung und Kapazitätsplanung im Projektmanagement,2022-03-10,20778,327,4,Mar
5,Das Vier Ohren Modell: Praxisnahe Erklärung und ein einfaches Beispiel,2022-02-24,62958,1235,23,Feb
6,Weiterbildung als Erfolgsfaktor im Projekt [aktuelle Statistiken],2022-02-10,1262,35,2,Feb
7,Der PDCA Zyklus einfach erklärt – 2 anschauliche Beispiele inklusive,2022-01-27,43047,845,18,Jan
8,Spannendes zum Stand des Projektmanagements [aktuelle Statistiken],2022-01-12,1913,38,4,Jan
9,Organisationsformen im Projektmanagement: Matrixorganisation & Co einfach erklärt,2021-12-16,49279,1149,50,Dec
10,"Kritischer Pfad, Gesamtpuffer und freier Puffer: Die Netzplantechnik am Beispiel erklärt",2021-12-02,118197,3220,83,Dec
11,Anordnungsbeziehungen im Netzplan: Die Feinheiten der Ablaufplanung,2021-11-18,14747,295,8,Nov
12,Netzplan einfach erklärt: Ein Beispiel mit Vorwärts und Rückwärtsterminierung [Netzplantechnik],2021-11-18,169351,3159,90,Nov
13,Netzplan vs. Gantt: Was brauchst du wirklich?,2021-11-04,48170,1235,45,Nov
14,Das Cynefin Framework einfach erklärt: Wann brauchst du welche Projektmanagement-Methodik?,2021-10-21,14170,223,6,Oct
15,Projektstrukturplan erstellen: Alles was du wissen musst,2021-10-07,62337,1202,36,Oct
16,Magisches Dreieck im Projekt einfach erklärt – Typische Beispiele inklusive,2021-09-23,33672,628,22,Sep
17,Personal Kanban: Mehr schaffen und weniger verzetteln [Zeitmanagement],2021-09-08,16648,410,11,Sep
18,Programm oder Portfolio? – ultrakurz erklärt #shorts,2021-07-22,1746,34,6,Jul
19,Phasen der Teamentwicklung nach Tuckman: Alles Wichtige zur Teamuhr,2021-07-15,35211,689,12,Jul
20,Was sind Stakeholder? – ultrakurz erklärt #shorts,2021-07-08,2808,65,2,Jul
21,Eat That Frog: Der einfache Zeitmanagement-Trick für mehr Produktivität,2021-07-01,7655,218,13,Jul
22,SMARTe Ziele – ultrakurz erklärt #shorts,2021-06-24,1899,53,3,Jun
23,Die SWOT Analyse einfach erklärt | Inklusive Beispiel,2021-06-16,48842,1165,45,Jun
24,Präventive und korrektive Maßnahmen – ultrakurz erklärt #shorts,2021-06-10,2069,63,0,Jun
25,Der Risikowert – ultrakurz erklärt #shorts,2021-05-27,1831,65,1,May
26,Das Eisenhower Prinzip einfach erklärt: Mit dieser Matrix setzt richtige Prioritäten,2021-05-20,17701,398,8,May
27,Grundbegriffe Risikomanagement – ultrakurz erklärt #shorts,2021-05-12,2169,59,0,May
28,Teamrollen Belbin: Wie du hochperformante Teams formst,2021-05-06,29173,508,5,May
29,Die Pomodoro-Technik – ultrakurz #shorts,2021-04-29,1969,81,2,Apr
30,"Die RACI Matrix einfach erklärt: Aufbau, Nutzen und praktische Beispiele",2021-04-22,15917,310,9,Apr
